Latitude,Longitude
32.22668,-84.71198
40.3867,-73.98484
35.17294,-79.38491
35.01225,-79.52738
34.89793,-79.58489
34.32569,-78.81614
37.74226,-79.30077
37.75701,-79.39559
31.31424,-86.45435
31.41203,-83.51844
39.36309,-86.23264
28.5606,-81.02317
28.65947,-82.32676
30.47006,-81.51427
27.50453,-82.35853
27.5232,-82.14558
29.76021,-82.46508
31.40795,-83.37261
31.48068,-83.49357
31.53117,-83.49311
37.84536,-82.421
25.55572,-80.43229
29.76889,-82.4678
30.3835,-81.48983
27.94756,-82.21725
28.10094,-82.51187
29.58479,-81.61607
29.65978,-82.54247
30.15271,-84.25268
32.36867,-85.18584
37.75026,-84.70257
37.81114,-83.71458
36.74064,-88.85153
37.72127,-85.70304
35.69191,-83.69296
35.69615,-83.68338
35.19628,-83.38552
35.72547,-83.47852
35.62839,-83.9377
35.776,-83.24885
35.83561,-83.18007
35.70058,-83.64723
35.75915,-83.34822
35.89441,-82.82325
35.89859,-82.82682
35.89907,-82.8276
35.9297,-82.88121
35.78381,-83.22128
35.60704,-83.96842
35.60958,-83.95271
35.78425,-83.10012
35.78142,-83.10286
35.79247,-83.10085
35.79557,-83.1005
35.79057,-83.10132
36.94924,-89.05106
36.87633,-88.87234
36.76656,-88.56797
37.14933,-85.02592
37.34997,-84.87488
37.02075,-86.44904
37.58728,-85.66753
36.63206,-86.85682
36.25148,-86.28815
36.86312,-86.74025
37.44102,-85.1407
37.02962,-85.90799
36.97179,-87.32572
36.39691,-89.33817
36.66891,-85.24908
36.76959,-85.25479
35.04403,-83.87968
35.08331,-84.02847
36.59035,-85.74904
35.62081,-84.72731
35.64242,-84.84184
35.89848,-84.60526
36.40512,-84.92645
34.77332,-86.5421
34.24693,-83.84808
33.77245,-84.32652
29.82902,-82.53905
29.94091,-82.10981
29.8317,-82.60758
29.83468,-82.61438
30.10925,-82.88408
29.76978,-82.42567
30.60627,-83.87185
30.66409,-83.87838
33.88199,-90.61081
31.46196,-83.51028
35.90067,-79.03051
33.84942,-95.50923
33.87264,-95.50359
32.54414,-94.36354
30.59825,-95.12642
30.77451,-94.43535
30.05003,-94.8816
30.04921,-94.88151
32.4957,-94.1639
30.84965,-93.77907
30.66112,-93.89214
30.92379,-94.00797
30.92522,-94.00743
30.916,-93.99866
32.70718,-94.80424
30.70033,-94.93534
30.59475,-95.13778
30.77636,-94.42117
30.9408,-94.09055
31.97346,-95.2809
32.15025,-94.78576
31.42056,-94.72373
34.07541,-84.69086
31.78023,-94.52694
30.33945,-97.75335
31.59713,-97.22818
30.10883,-95.45327
31.5557,-91.39903
30.72161,-94.4435
30.06992,-95.73962
32.75876,-97.06715
32.75379,-94.3547
31.97705,-95.28805
32.71872,-94.08798
32.54581,-94.34094
32.58396,-94.34286
32.76986,-94.73579
30.73659,-94.43129
31.97164,-95.27362
31.97344,-95.27992
31.97691,-95.29069
29.32367,-95.29404
33.21953,-97.13225
29.58292,-95.75873
30.92258,-93.99756
30.92335,-93.9989
30.92343,-93.99914
30.92586,-94.0122
31.0608,-93.99297
